Name,Year,Event,Image,Image caption,Display Year (if different)
Ishiuchi Miyako,1978,Her father gives her the money that had been saved for her wedding so that she can produce photobooks; Publishes the photobook アパート (Apartment) (Shashin tsūshinsha); Holds exhibition of the Apartment series at the Nikon Salon in Tokyo,,,
Ishiuchi Miyako,1979,"Receives the 4th Kimura Ihei Award for Apartment and holds a solo exhibition at Nikon Salon; Publishes the photobook 絶唱・横須賀ストーリー (Yokosuka Story) (Shashin tsūshinsha); Participates in the group exhibit Japan: A Self-Portrait held at the International Center of Photography in New York; Travels to New York, California, Arizona, and Mexico for More Magazine; Photographs in color for the first time",,,
Ishiuchi Miyako,1980,Holds a solo exhibit of work from Endless Night at Nikon Salon; Participates in the group exhibition Photo-Session '80 at Konishiroku Gallery in Tokyo,,,
Ishiuchi Miyako,1981,"Publishes the photobooks 連夜の街 (Endless Night) (Asahi sonorama) and 水道橋・東京歯科大学 (Suidōbashi) (Issei shuppan); Rents the 2nd New Yokosuka cabaret where she prints new photographs of Yokosuka and exhibits them alongside works from Yokosuka Story in the exhibit, From Yokosuka",,,
Ishiuchi Miyako,1982,Holds solo exhibition Suidōbashi at Nikon Salon; Work appears in Asahi Camera and Camerart,,,
Ishiuchi Miyako,1983,Invited to make photographs for the magazine Camera Mainichi,,,
Ishiuchi Miyako,1984,"Invited to participate in the Polaroid Corporation's project to have famous photographers produce work with a 20x24 Polaroid camera, for which she creates the series Dōkyūsei, portraits of her classmates from Yokosuka City Second High School; Her work appears in Camera Mainichi and Mainichi Graphic; Holds solo exhibit Tokyo Bay Cities at Nikon Salon; Participates in the group exhibit DuMont Foto 5: Die Japanische Photographie at the Museum für Kunst und Gewerbe in Hamburg",,,
Ishiuchi Miyako,1985,"Holds solo exhibits at Nikon Salon and Space de Aupa in Nagoya; Participates in the group exhibit Paris, New York, Tokyo at the Tsukuba Museum of Photography",,,
Ishiuchi Miyako,1986,"Travels to Guam for a commission by All Nippon Airways; The series Dōkyūsei is published in The Works with Polaroid 20x24, 1983-1986 (Seikyūsha); Holds solo show Tokyo Bay Cities at Saikaya Salon in Yokosuka; Exhibits work from Dōkyūsei in World of Super-Image at the Yūrakucho Seibu Art Forum in Tokyo",,,
Ishiuchi Miyako,1987,Begins working on the series 1947 by photographing Araki Yōko; Participates in the group exhibit Japanese Women Photographers at Lehigh University Art Gallery in Pennsylvania,,,
Ishiuchi Miyako,1988,Holds a solo exhibit From Yokosuka: Third Position at Room 801 in Tokyo with new work made in Yokosuka,,,
Ishiuchi Miyako,1989,"Photographs EM Club in Yokosuka before it is demolished; Participates in the group exhibit The Hitachi Collection of Contemporary Japanese Photography at the Center for Creative Photography, The University of Arizona",,,
Ishiuchi Miyako,1990,Stops photographing Yokosuka; Publishes the photobook 1・9・4・7 (Inter Press Corporation); Work appears in Asahi Camera and Asahi Graph; Participates in the group exhibit Women's Perspective in Germany and Japan at the Kawasaki City Museum,,,
Ishiuchi Miyako,1991,"Begins to photograph the Butoh dancer Ohno Kazuo; Holds solo exhibit at Past Rays Photo Gallery in Yokohama; Participates in multiple group exhibits, including Unknown Self: Self-Portraits of Contemporary Women at the Tokyo Metropolitan Museum of Photography",,,
Ishiuchi Miyako,1992,"Holds a solo exhibit Interior 2 at Gallery Te in Tokyo; Participates in multiple group exhibits, including So oder so nicht sein: Symposion über Fotografie 13 at Forum Stadtpark in Graz, Austria",,,
Ishiuchi Miyako,1993,"Publishes a compilation of essays in the book モノクローム (Monochrome) (Chikuma shobō); Holds a solo exhibit Interior 3 at Galler Te; Participats in multiple group exhibits, including Changing I: Dense Cities at Shedhalle Zurich",,,
Ishiuchi Miyako,1994,"Travels to New York and meets Robert Frank; Publishes the photobook 1906・to the skin (Kawade shobō shinsha); Holds multiple solo exhibits including work from 1947 at Laurence Miller Gallery in New York; Participats in multiple group exhibits, including, Japanese Art after 1945: Scream Against the Sky at the Guggenheim Museum in New York",,,
Ishiuchi Miyako,1995,"Quits office job to become a full-time photographer; Publishes the photobooks さわる ChromosomeXY (Shinchōsha) and 手・足・肉・体：Hiromi 1955 (Head, Foot, Flesh, Body: Hiromi 1955 (Chikuma shobō); Holds three solo exhibitions; Participates in numerous group exhibitions, including Objects, Faces, and Anti-Narratives: Rethinking Modernism at the Tokyo Metropolitan Museum of Photography",,,
Ishiuchi Miyako,1996,"Begins collaboration with photographer Narahashi Asako and publishes the first issue of the photo magazine Main, which runs for 10 issues until 2000; Holds solo exhibition of work from Chromosone XY at Third Gallery Aya in Osaka; Participates in numerous group exhibitions, including Prospect '96: Photographie in der Gegenwartskunst at the Frankfurter Kunstverein and Schirn Kunsthalle in Frankfurt and in the Yokohama Museum of Art Collection: Contemporary Photography at the Yokohama Museum of Art",,,
Ishiuchi Miyako,1997,"Holds multiple solo exhibitions, including 1・9・4・7 at Zeit Foto Salon in Tokyo; Participates in numerous group exhibitions, including Lust und Leere: Japanische Photographie der Gegenwart at Kunsthalle Wien in Veinna and Surface Exposed: Photography in Art of the '90s at the Museum of Contemporary Art, Tokyo",,,
Ishiuchi Miyako,1998,"Publishes the photobook Yokosuka Again, 1980-1990 (Sokyūsha); Holds solo exhibition of Yokosuka Again at Gallery Verita in Tokyo; Participates in eight group exhibitions, including Art in the Ruins: AIR at Gallery Yamaguchi in Tokyo, Women Photographers' Eyes, 1945-1997: Tokyo Month of Photography at the Tokyo Metropolitan Museum of Photography, and An Incomplete History: Women Photographers from Japan, 1864-1997 at the Visual Studies Workshop in Rochester, New York",,,
Ishiuchi Miyako,1999,"Photographs her mother for the first time for the series Body and Air; Receives the 11th 写真の会 (Society of Photography) Award and the 15th Domestic Photographer Award at the Higashikawa International Photo Festival; Begins working on the series Innocence and Mother's; Publishes the book (Miyako Ishiuchi: Textured Time in Monochrome) (National Musuem of Modern Art, Tokyo); Holds three solo exhibitions, including Ishiuchi Miyako: Time Textured in Monochrome at the National Film Center at the National Museum of Modern Art, Tokyo; Participates in seven group exhibitions",,,
Ishiuchi Miyako,2000,"Her mother passes away; Publishes 爪 (Nail) (Heibonsha); Holds a solo exhibition of work from 1・9・4・7 at Gallery RAKU in Kyoto and Third Gallery Aya in Osaka; Participates in four group exhibitions, including Vestiges at Sepia International in New York",,,
Ishiuchi Miyako,2001,"Publishes a revised edition of Endless Night entitled, Endless Night 2001 連夜の街 (Wides shuppan); Holds two solo exhibitions, including Endless Night 2001 at Taka Ishii Gallery in Tokyo; Participates in multiple group exhibitions, including Global Visions at the Museum of Contemporary Art, Tokyo",,,
Ishiuchi Miyako,2002,"Publishes the photobook Mother's (Sokyūsha); Holds multiple solo exhibitions, including Works of Ishiuchi Miyako at Photographers' Gallery in Tokyo; Participates in numerous group exhibitions, including The Unfinished Century: Legacies of Twentieth-Century Art at the National Museum of Modern Art, Tokyo",,,
Ishiuchi Miyako,2003,"Receives the 15th 写真の会 (Society of Photography) Award; Holds a solo exhibition of work from Mother's at Sepia International in New York; Participates in numerous group exhibitions, including The History of Japanese Photography at the Museum of Fine Arts, Houston and Permanent Exhibition: Ishiuchi Miyako, Shiraoka Jun, and Kakimoto Hiromi at Third Gallery Aya in Osaka",,,
Ishiuchi Miyako,2004,"Participates in five group exhibitions, including Out of the Ordinary/Extraordinary: Japanese Contemporary Photography at the Japanisches Kulturinstitut in Cologne",,,
Ishiuchi Miyako,2005,"Represents Japan in the Japan Pavilion at the Venice Biennale with the exhibition, Ishiuchi Miyako: Mother's 2000-2005: Traces of the Future; Creates the short film Mother's; Publishes a book of essays entitled, キズアト (Scars) (Nihon bunkyō shuppan); Publishes the photobooks 薔薇のパルファム (Le Parfum de la Rose) (Kyūryūdō) and SCARS (Sokyūsha) and the catalogue マザーズ 2000-2005 未来の刻印 (Ishiuchi Miyako: Mother's 2000-20005: Traces of the Future) (Japan Foundation and Tankōsha); Holds four solo exhibitions, including Mother's at Third Gallery Aya in Osaka and Timeless Encounters in the Photography of Ishiuchi Miyako at th eHouse of Shiseido in Tokyo; Participates in eight group exhibitions",,,
Ishiuchi Miyako,2006,"Receives the Photographic Society of Japan Lifetime Achievement Award; Holds two solo exhibitions, including Ishiuchi Miyako: Mother's at the Tokyo Metropolitan Museum of Photography; Participates in thirteen group exhibitions",,,
Ishiuchi Miyako,2007,"Publishes Club & Courts: Yokosuka Yokohama (Sokyūsha) and Innocence (Akaaka); Holds two solo exhibitions, including Mother's at the Art Gallery of New South Wales in Sydney; Participates in five group exhibitions, including Vital Signs: Reality of Nine Contemporary Artists at the Yokosuka Museum of Art",,,
Ishiuchi Miyako,2008,"Makes a short film, Strings of Time; Publishes the photobook ひろしま/hiroshima (Shueisha); Publishes the exhibition catalogues Ishiuchi Miyako: Photographs, 1976-2005 (Cinubia) and Hiroshima/Yokosuka: Ishiuchi Miyako (Meguro Museum of Art); Holds five solo exhibitions, including the retrospective Ishiuchi Miyako: Photographs, 1976-2005 that travels to Prague, Amsterdam, France, and London; Participates in six group exhibitions",,,
Ishiuchi Miyako,2009,"Receives the 15th Mainichi Art Award; Publishes Infinity ∞ (Kyūryūdō) and One Days (Rat Hole Gallery); Holds two solo exhibitions, including Ishiuchi Miyako Infinity ∞ at the Museum of Modern Art in Gunma; Participates in three group exhibitions, including Dress Codes: The Third ICP Triennial of Photography and Video at the International Center of Photography in New York",,,
Ishiuchi Miyako,2010,"Interviewed for Linda Hoaglund's film, ANPO: Art X War; Publishes Sweet Home Yokosuka, 1976-1980 (PPP Editions) and Tokyo Bay Blues (Sokyūsha); Holds four solo exhibitions, including ひろしま/hiroshima at Third Gallery Aya in Osaka; Participates in six group exhibitions, including Pictures by Women: A History of Modern Photography at the Museum of Modern Art in New York",,,
Ishiuchi Miyako,2011,Receives the 60th Kanagawa Culture Award; Holds two solo exhibitions of the work ひろしま/hiroshima at Hokuto Bunka Hall Gallery in Nagano and the Museum of Anthropology at the University of British Columbia; Participates in the group exhibition Skin at Fondation Claude Verdan--Museé de la Main in Lausanne,,,
Ishiuchi Miyako,2012,"Invited to Casa Azul in Mexico to photograph Frida Kahlo's belongings; Publishes 絹の夢 (From Cocoons) (Seigensha); Holds two solo exhibitions, including ひろしま/hiroshima via Vancouver at the Embassy of Canada Prince Takamado Gallery in Tokyo; Participates in the group exhibition The Body as Protest at the Albertina in Vienna",,,
Ishiuchi Miyako,2013,"Receives the Purple Ribbon Award from the Japanese government; Linda Hoaglund makes the film Things Left Behind about Ishiuchi and the ひろしま/hiroshima project; Publishes the photobook Frida by Ishiuchi (RM) and sa・bo・ten/cactus (Daiwa Press); Holds two solo exhibitions at Gallery G in Hiroshima and Michael Hoppen Gallery in London; Participates in six group exhibitions, including Step Out: Seven Women Artists at Takaoka Art Museum",,,
Ishiuchi Miyako,2014,"Receives the Hasselblad Award; Tadasuke Kotani makes the film The Legacy of Frida Kahlo about the project Frida by Ishiuchi; Publishes the photobook From ひろしま/hiroshima (Kyūryūdō) and the exhibition catalogues Ishiuchi Miyako Hasselblad Award 2014 (Kehrer Verlag) and Ishiuchi Miyako: Here and Now: Atomic Bomb Artifacts, ひろしま/Hiroshima 1945/2007 (PPP Editions); Holds four solo exhibitions, including Ishiuchi Miyako: The Fabric of Photography at the Hasselblad Center in Sweden; Participates in six group exhibitions, including Photography Is _______. at Art Institute of Chicago",,,
Ishiuchi Miyako,2015,"The J. Paul Getty Museum in Los Angeles holds the retrospective exhibition, Ishiuchi Miyako: Postwar Shadows and publishes a catalogue of the same name; Holds the solo exhibition Frida by Ishiuchi at Michael Hoppen Gallery in London; Publishes Belongings (Case Publishing, FAPA); Participates in twelve group exhibitions, including For a New World to Come: Experiments in Japanese Art and Photography, 1968-1979 at the Museum of Fine Arts, Houston and Beyond Hiroshima: The Return of the Repressed--Wartime Memory, Performativity, and the Fictional in Contemporary Japanese Photography and Video Art at Tel Aviv University Gallery",,,
Ishiuchi Miyako,2016,"Publishes four books, including 幼き衣へ (Childhood Garments) (Sokyūsha), フリーダ 愛と痛み (Frida Love and Pain) (Iwanami shoten), 写真関係 About Photography (Chikuma shobo), and From Yokosuka (Super Labo); Holds three solo exhibitions, including Childhood Garmets at Iwami Art Museum; Receives the Avon Awards to Women; Participates in thirteen group exhibitions, including Eyes of Six Women at Zeit Foto Salon in Tokyo",,,
Ishiuchi Miyako,2017,"Publishes yokohama 互楽荘 (Yokohama Gorakuso) (Sokyūsha) and 肌理と写真 (Grain and Image) (Kyūryūdō); Holds two solo exhibitions, including Grain and Image at the Yokohama Museum of Art; Participates in sixteen group exhibitions, including Okinawa Where the Photographers Looked, 1972-2017 at the Okinawa Prefectural Museum & Art Museum",,,
Ishiuchi Miyako,2018,"Publishes Beginnings: 1975 (Sokyūsha); Holds a solo exhibition at the Michael Hoppen Gallery in London; Participates in six group exhibitions, including VII Bienal de Arte Contemporáneo at Fundación ONCE in Madrid",,,
Ishiuchi Miyako,2019,"Publishes 都とちひろーふたりの女の物語 (The Story of Two Women: Miyako and Chihiro) (Kyūryūdō), an exhibition catalogue that accompanies a show of the same name at Chihiro Art Museum; Holds three solo exhibitions, including Fabric of Memory-From ひろしま/hiroshima at Irie Taikichi Memorial Museum of Photography; Participates in eleven group exhibitions, including Emancipation of Humanity: Focusing on Works by Female Artists-Primarily from the Museum Collection at The National Museum of Modern Art in Tokyo and Feel The Sun in Your Mouth: Recent Acquisitions at the Hirshhorn Museum and Sculpture Garden in Washington D.C.",,,
Ishiuchi Miyako,2020,"Holds the solo exhibition Sprits Rising-ひろしま/hiroshima at the Portland Japanese Garden Gallery in Portland, Oregon; Participates in nine group exhibitions, including DOMANI: The Art of Tomorrow 2020 -Landscapes in Our Age: Scarred and Reborn at The National Art Center in Tokyo and Hasselblad Award 40 Years at the Hasselblad Center in Sweden",,,
Ishiuchi Miyako,2021,"Publishes Moving Away (Sokyūsha); Holds the solo exhibition Seen and Unseen-Tracing Photography at the Otani Memorial Art Museum; Participates in eight group exhibitions, including The Seventieth Anniversary of the Hiroshima Panels at the Okawa Museum of Art",,,
Matsumoto Michiko,1971,Attends and photographs a <i>ūman ribu</i> (Women's Liberation) training camp in Nagano and publishes the photographs in <i>Asahi Graph</i> and <i>Shukan Bunshun; </i>She continues to photograph ribu protests and demonstrations until 1977,,,
Matsumoto Michiko,1972,Her photographs from the Nagano <i>ribu</i> training camp appear on posters for the Ribu Conference,,,
Matsumoto Michiko,1974,"Photographs Witch Concerts, concerts organized for women by the women of the Three Points cafe, a gathering center for the ūman ribu movement; Begins traveling to New York, Los Angeles, and Paris to photograph protests and make portraits of key women in feminist movements, the arts, and publishing",,,
Matsumoto Michiko,1976,Photographs Witch Concerts,,,
Matsumoto Michiko,1977,Photographs Witch Concerts,,,
Matsumoto Michiko,1978,"Publishes <i>Women Come Alive</i>, a collection of her feminist photographs of the 1970s",,,
Matsumoto Michiko,2013,Publishes the photobook 日本のバラ (Japanese Roses) (Tankōsha),,,
Matsumoto Michiko,2015,Publishes the photobook 東京桜100花 (100 Cherry Blossoms in Tokyo) (Tankōsha),,,
Matsumoto Michiko,2016,"Publishes the photobook 更紗 (Chintz) (Tankōsha); Holds a solo exhibition of portrait photographs at The Museum of Contemporary Art Karuizawa, Nagano",,,
Takeda Hana,1970,"After graduating from high school, her father buys her a Pentax SV camera, and she starts making photographs",,,
Takeda Hana,1974,Graduates from Tōyō University,,,
Takeda Hana,1979,"Publishes her first photobook うちの猫・よその猫 (Indoor Cat, Outdoor Cat) (Shinya sosho)",,,
Takeda Hana,1980,Publishes the photobook 猫町横丁 駄猫・雑猫グラフィティー (Cat Town Yoko-chō) (Izara shobo),,,
Takeda Hana,1982,Publishes the photobook 猫のいた場所 (Places with Cats) (Shuppan shinsha),,,
Takeda Hana,1987,"Begins traveling to run-down towns, such as Soka, Ashikaga, Tatebayashi, and Kiryu, among others, to photograph for the project 眠そうな町 (Sleepy Town); Publishes the photobook 猫・陽あたる場所 (Cats in the Sun) (Gendai shokan)",,,
Takeda Hana,1990,Wins the 15th Kimura Ihei Award; Publishes the photobook 眠そうな町 (Sleepy Town) (IPC),,,
Takeda Hana,1996,Publishes the photobook 猫 TOKYO WILD CATS (Chuokoronsha),,,
Takeda Hana,2001,Publishes the photobook SEASIDE BOUND (Chuokoronsha),,,
Takeda Hana,2007,Publishes the photobook 猫・大通り(Cat Boulevard) (Gendai shokan),,,
Ushio Sayuri,1980,Graduates from Beauty Arts Kobe,,,
Ushio Sayuri,1985,"Opens her own hair salon, TICK TOCK Club",,,
Ushio Sayuri,2000,Participates in the Tada Photo Collection 2000 grand prix; also places as a finalist as an entry from the Kansai region for JHA 2000,,,
Ushio Sayuri,2001,Is a finalist for JHA 2001; wins two awards at the Milbon Photo Collection,,,
Ushio Sayuri,2003,Participates in the Arimino Photo Collection 2003; is a finalist for JHA 2003,,,
Ushio Sayuri,2005,Participates in the Arimino Photo Collection 2005,,,
Ushio Sayuri,2009,"Her photograph and text work, <i>Live & Move, </i>is serialized in News Hair Magazine",,,
Ushio Sayuri,2010,Publishes the photobook 日本の美容氏達へ (For Japanese Hairdressers) (Parade),,,
Ushio Sayuri,2011,Opens the Step Bone Cut Academy,,,
Ushio Sayuri,2018,Publishes the book 人生を変える髪の魔法：女性は髪型で10歳若返る(The Magic of Life-Changing Hair: Look Ten Years Younger Through Hairstyles) (Jiyūkokuminsha),,,
Takada Kyōko,1978,"Begins her career in the pharmaceutical industry, working in the medical research division of Fujisawa Pharmaceutical Company",,,
Takada Kyōko,1991,Begins working in commercial photo design and as a freelance photographer,,,
Takada Kyōko,DATE TK,Graduates from the Sōzōsha College of Design with a degree in illustration,,,
Takada Kyōko,DATE TK,Studies with photography professor Takada Seizō and Western art professor Hasegawa Masaki at Osaka Geijutsu Daigaku,,,
Takada Kyōko,2005,"Publishes チュニジアドア (Tunisian Door) (Sairyūsha), and アナザー ニュートラルイスラム世界を旅する人へ (Another Neutral: The Islamic World for Travelers) (Byakuya Shobō",,,
Takada Kyōko,2011,"Publishes 私の愛するチュニジア (My Beloved Tunisia) (Tōhō Shuppan), and 私の愛するエジプト (My Beloved Egypt) (Tōhō Shuppan)",,,
Orisaku Mineko,1981,Graduates from the Kyoto Bunkyo Junior College; participates in the Miss Universe pageant,,,
Orisaku Mineko,1982,Joins the Ōtake Studio,,,
Orisaku Mineko,1985,Selected for the Nika Art Exhibition,,,
Orisaku Mineko,1986,Selected for the Nika Art Exhibition; apprentices with photographer Ōtake Shōji,,,
Orisaku Mineko,1987,Begins independent freelance work,,,
Orisaku Mineko,1991,Publishes BOSTON in the time (Mitsumura Insatsu),,,
Orisaku Mineko,1994,Publishes Dimensions (Kōdansha),,,
Orisaku Mineko,1996,Publishes Turkey (Hashimoto Kakubundō),,,
Orisaku Mineko,2003,Publishes MAGYAR (Kōdansha),,,
Orisaku Mineko,2004,Joins Osaka Geijutsu Daigaku as professor in the photography department,,,
Orisaku Mineko,2005,Publishes 光彩上海 (Colors of Shanghai) (Asahi Shinbunsha),,,
Orisaku Mineko,2006,Publishes MY SWITZERLAND (Seiryū shuppan),,,
Orisaku Mineko,2007,Becomes director of photography department at Osaka Geijutsu Daigaku,,,
Orisaku Mineko,2010,Publishes SWISS 光と風 (SWISS Light and Wind) (Kōdansha),,,
Ogata Hidemi,1983,Begins studying photography with the fashion photographer Izimi Kaoru,,,
Ogata Hidemi,1985,"Travels to the United States of America, largely based in NYC, where she lives and works for approximately five years",,,
Ogata Hidemi,1989,"First solo exhibition: My Fabulous Friends, at Tokyo Designers Space Photo Gallery (Tokyo)",,,
Ogata Hidemi,1992,Participates in the Kobe Fashion Festival,,,
Ogata Hidemi,1995,Publishes <i>Blankey Jet City </i>(Little More),,,
Ogata Hidemi,1999,Publishes 氷 (Ice) (Kōrinsha),,,
Ogata Hidemi,2000,Publishes Diamond Cat (Shinkō Music),,,
Ogata Hidemi,2002,Publishes Silver Wolf - MASATO (ASCII),,,
Ogata Hidemi,2003,"Publishes アイアムアーサー! ―不良牧師からの伝言 ( I Am Arthur! Messages From a Bad Pastor) (Geibunsha), with Arthur Hollands",,,
Ogata Hidemi,2011,Publishes 写真集 横綱白鵬 (Yokozuna Hakuhō Photobook) (Grace),,,
Takahashi Junko,1985,Graduates from Musashino Art University,,,
Takahashi Junko,1989,First solo exhibition is held at Kobayashi Gallery (Tokyo),,,
Takahashi Junko,1990,"Two solo exhibitions: ジョーンズ氏の肖像 (Portrait of Mr. Jones) at Kaneko Art G1 (Tokyo), and ポリ=プラ=スクラップ (Poly=Pla=Scrap) at Mole (Tokyo)",,,
Takahashi Junko,1992,Wins the 5th Canon New Cosmos Award of Excellence for 記憶の絵 (Pictures of Recollection),,,
Takahashi Junko,1993,"Holds a solo exhibition, Ontology, at Gallery+1 (Tokyo)",,,
Takahashi Junko,1995,"Holds a solo exhibition, Heart Beat, at Konica Plaza (Tokyo)",,,
Takahashi Junko,1996,"Publishes her first photobook, a hybrid analogue and CD-ROM photobook, entitled Another Sight (Inner Brain); A solo exhibition of the same series is held at Mole gallery (Tokyo)",,,
Takahashi Junko,1998,"Publishes スクールダズ (School Days) (Shinchosha), Y's Eyes (Yomiuri TV), and Trans Body Bondage (Wailea Press)",,,
Takahashi Junko,2002,"Her work is included in the group exhibition 写真新世紀１０周年記念展 Futuring Power (Futuring Power: 10th Anniversary of New Cosmos of Photography), held at the Tokyo Metropolitan Museum of Photography (Tokyo); she also holds a solo exhibition, cool & heat, at Sho-ART (Tokyo)",,,2002-2003
Takahashi Junko,2006,Publishes The Receptionist (Nazraeli Press),,,
Takahashi Junko,2008,"Her work is included in the group exhibition 日本の新進作家展 vol.7「オン・ユア・ボディ」(On Your Body: Contemporary Japanese Photography Vol.7), held at the Tokyo Metropolitan Museum of Photography (Tokyo); two solo exhibitions: The Receptionist—Tokyo Mid, at LOTUSROOT Gallery (Tokyo), and wreck, at moriokashoten (Tokyo)",,,
Takahashi Junko,2011,"Solo exhibition: LOST WORLD held at Three Shadows Art Photography Center in Beijing, China",,,
Takahashi Junko,2012,"Solo exhibition: Fade Out Changdian / LOST WORLD, held at Shinjuku Nikon Salon (Tokyo)",,,
Onodera Yuki,DATE TK,Graduates from Kuwazawa Design School,,,
Onodera Yuki,1991,Wins the 1st New Cosmos of Photography Award,,,
Onodera Yuki,1992,"Her work is included in the group exhibition, 第1回・写真新世紀 (The 1st New Cosmos of Photography), held at P-3 Art and Environment Gallery (Tokyo)",,,
Onodera Yuki,1993,"Moves to Paris and establishes her own studio; holds her first solo exhibition, 白と玉 (White and Sphere), at Gallery Hosomi (Tokyo)",,,
Onodera Yuki,1995,"Holds three solo exhibitions of her DOWN series in Tokyo at three different galleries, and one solo exhibition in Paris, entitled 古着のポートレート (Portrait of Second-Hand Clothes), at L'Institut Français de la Mode (Paris)",,,
Onodera Yuki,1996,"Wins the 21st Kodak Photo Critic Award, and is included in the exhibition celebrating the same awards, held at the Galerie Passage de Retz (Paris), along with three other group exhibitions and one solo exhibition in Paris.",,,
Onodera Yuki,1997,"Two solo exhibitions in France, held at the Galerie Laage-Salomon (Paris) and the   Galerie du Théâtre Granit (Belfort); Her work is also included in two Japanese group exhibitions, including the 第2回東京国際写真ビエンナーレ 展 ( ノミネート部門日本代表参加 (The 2nd Tokyo International Photo-Biennale / Nomination Section) at the Tokyo Metropolitan Museum of Photography (Tokyo).",,,
Onodera Yuki,1998,"Her work is included in eight group exhibitions internationally, including Moscow, Tokyo, France, and the United States of America.",,,
Onodera Yuki,1999,"She exhibits in three solo exhibitions in Japan: a solo exhibition at the Museum of Modern Art in Gunma, “C.V.N.I.“ at Galerie il tempo (Tokyo), and “P.N.I.“ at Zeit-Photo Salon (Tokyo); Her work is also included in four international group exhibitions in Germany, the USA, and France.",,,
Onodera Yuki,2000,"Solo exhibition at the Galerie du Théâtre Granit (Belfort, France); Her work is also included in six international group exhibitions in France, Germany, China, and the USA.",,,
Onodera Yuki,2001,"She recieves the 17th Higashikawa Award for young artists. Two solo exhibitions in Tokyo: 真珠のつくり方 (How to Make a Pearl) at Zeit-Foto Salon (Tokyo), and 窓の外を見よ (Look Out the Window) at Galerie il Tempo (Tokyo); Her work is also included in four international group exhibitions in Sweden and Japan.",,,
Onodera Yuki,2002,"Wins the Photographic Society of Japan beginners' award; Publishes 真珠のつくり方 (How to Make a Pearl)  (Nazraeli Press) and カメラキメラ (CameraChimera) (Suiseisha); The solo exhibitions  真珠のつくり方 (How to Make a Pearl) and 窓の外を見よ (Look Out the Window) travel to Paris, while two more solo exhibitions open in Tokyo: transvest at Zeit-Foto Salon, and ミツバチ – 鏡 (Bees — Mirror) at Galerie il Tempo; Her work is included in a dozen international group exhibitions in Sweden, Japan, Norway, Finland, Latvia, France, and Japan, including 写真新世紀１０周年記念 (The New Cosmos of Photography 10th Anniversary) at The Tokyo Metropolitan Museum of Photography (Tokyo).",,,
Onodera Yuki,2003,"Wins the Kimura Ihei award; Holds one solo exhibition in Paris and her work is featured in five international group exhibitions in Japan, China, and France.",,,
Onodera Yuki,2004,"Publishes the photobook transvest (Nazraeli Press); Three solo exhibitions in Paris and Tokyo; Her work is also included in seven international group exhibitions in Spain, China, Japan, and Germany, including 六本木クロッシング：日本美術の新しい展望 (Roppongi Crossing: New Visions in Japanese Art) at the Mori Art Museum (Tokyo).",,,
Onodera Yuki,2005,"Multiple solo exhibitions, including at the National Museum of Art in Osaka, Japan, and dozens of international group exhibitions.",,,
Onodera Yuki,2006,Wins the Niépce Award; Participates in multiple international group and solo exhibitions.,,,
Onodera Yuki,2007,"Exhibits in dozens of solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Germany, China, Iceland, and the USA, among others.",,,
Onodera Yuki,2008,"Exhibits in dozens of solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Germany, China, and Luzembourg, among others.",,,
Onodera Yuki,2009,"Exhibits in multiple solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Colombia, Germany, the USA, and Greece, among others.",,,
Onodera Yuki,2010,"Holds a solo exhibition of her work,「写真」の迷宮へ (Yuki Onodera: Into the Labyrinth of Photography), at the Tokyo Metropolitan Museum of Photography; Exhibits in numerous other solo and group exhibitions across the globe, including shows in France, Japan, and China.",,,
Onodera Yuki,2011,Wins the Minister of Education Award for Fine Arts; Wins the 27th Higashikawa Prize; Her career trajectory of numerous international solo and group exhibitions continues through the second decade of the 21st century.,,,
Onodera Yuki,2014,Publishes 11番目の指 (Eleventh Finger) (art beat publishers),,,
Nakamura Haruko,1984,"Nakamura graduates from Nihon University in the photography division of the Department of the Arts; Following her graduation, she travels to Tanzania for six months.",,,
Nakamura Haruko,1989,Publishes 世界の子どもたちタンザニア(Children of the World: Tanzania) (Kaiseisha),,,
Nakamura Haruko,1991,"Her first solo exhibition, 太陽と風のワトト (Watoto of the Sun and the Wind), is held at El Park Sendai (Miyagi)",,,
Nakamura Haruko,1993,Travels to Tuscany and starts a project photographing landscape and scenery.,,,
Nakamura Haruko,1995,"Her solo exhibition, 魚を売るイネさん (Mrs Ine Selling Fish) is held at El Park Sendai (Miyagi)",,,
Nakamura Haruko,1999,Her solo exhibition うみから・・・(From the Sea) is held at Gallery Arata (Miyagi),,,
Nakamura Haruko,2000,"Wins New Cosmos of Photography Grand Prix Award for her work 海からの贈り物 (The Gift from the Sea); Also wins the 21st Annual New Century of Photography Excellence Award, as selected by photographer Araki Nobuyoshi.",,,
Nakamura Haruko,2002,Her work 海からの贈り物 (The Gift from the Sea) is included in the group exhibition 写真新世紀10周年記念 (New Century of Photography - 10th Anniversary) held at the Tokyo Metropolitan Museum of Photography (Tokyo),,,
Nakamura Haruko,2005,Dies from pancreatic cancer,,,
Nakamura Haruko,2008,"Posthumous publication of the photobook 光の音 Pure and Simple (Sound of Light, Pure and Simple) (Formare la Luce)",,,
Seino Yoshiko,1995,"After working as a editor for several years, she starts taking photographs in her thirties",,,
